seed,domain,method,source_model,horizon,history_length,epochs,batch_size,learning_rate,mse,mae,rmse,mape,trend_f1,nmse,smape,relative_improvement_over_persistence,n_features,train_time_sec,torch_device,best_val_scaled_mse,rank_mse_in_domain_horizon
2027,Health_US,strong_raw_text_fusion,PatchTST,3,24,3,64,0.001,1.0340755019152288,0.6746341344312573,1.0168950299392896,0.27196405413940367,0.4702127659574468,0.3983041793655303,0.25957372784614563,-0.8615611702451512,26.0,0.6338071823120117,cpu,0.9272711873054504,10.0
2027,Health_US,strong_event_no_verifier,TimesNet,3,24,3,64,0.001,0.9915365891616396,0.6694774111957414,0.9957593028245528,0.2855197045649374,0.46170212765957447,0.38191908301227656,0.26682108640670776,-0.78498186045601,15.0,0.6334853172302246,cpu,0.631672203540802,4.0
2027,Health_US,strong_event_no_verifier,PatchTST,3,24,3,64,0.001,1.04098983812588,0.6850016209250647,1.0202890953675237,0.2817849300585407,0.4787234042553192,0.40096743655046513,0.2627468407154083,-0.8740084816686681,15.0,0.5176448822021484,cpu,1.0412120819091797,12.0
2027,Health_US,strong_event_with_verifier,TimesNet,3,24,3,64,0.001,1.026776630678909,0.6743209490539335,1.0132998720412971,0.2854082477543471,0.4765957446808511,0.39549280735962494,0.26692941784858704,-0.8484216120069116,15.0,0.6337466239929199,cpu,0.6192682385444641,9.0
2027,Health_US,strong_event_with_verifier,PatchTST,3,24,3,64,0.001,1.04098983812588,0.6850016209250647,1.0202890953675237,0.2817849300585407,0.4787234042553192,0.40096743655046513,0.2627468407154083,-0.8740084816686681,15.0,0.4604518413543701,cpu,1.0412120819091797,12.0
2027,Health_US,strong_numerical_only,TimesNet,6,24,3,64,0.001,1.293119756555294,0.7624003570130531,1.1371542360450908,0.31968164226773443,0.5319148936170213,0.49764272251266106,0.3015511929988861,-0.15095690450025445,10.0,0.6620199680328369,cpu,1.0020266771316528,1.0
2027,Health_US,strong_numerical_only,PatchTST,6,24,3,64,0.001,1.4820018508597432,0.8112031291562615,1.2173749836676222,0.3277697387038784,0.516595744680851,0.5703318908337391,0.3177095353603363,-0.3190737007011623,10.0,0.399153470993042,cpu,1.4060554504394531,3.0
2027,Health_US,strong_raw_text_fusion,TimesNet,6,24,3,64,0.001,1.576813981576328,0.8616169430685382,1.2557125393880273,0.3647319950459126,0.5234042553191489,0.6068192823671543,0.326017290353775,-0.4034623862234747,26.0,0.6856231689453125,cpu,1.2990483045578003,15.0
2027,Health_US,strong_raw_text_fusion,PatchTST,6,24,3,64,0.001,1.4827117409131598,0.813415432060864,1.2176665146554535,0.32768359907519884,0.5148936170212766,0.570605084106888,0.3208800256252289,-0.3197055469429925,26.0,0.6359462738037109,cpu,1.3862178325653076,4.0
2027,Health_US,strong_event_no_verifier,TimesNet,6,24,3,64,0.001,1.5079698639759245,0.8467520250919017,1.2279942442763827,0.35015867169139364,0.5089361702127659,0.5803253911881112,0.32548266649246216,-0.34218684535826654,15.0,0.6509206295013428,cpu,1.1544920206069946,11.0
